Time,Open,High,Low,Last,Change,%Chg,Volume
"11/25/2024 11:15",598.08,598.38,597.9318,598.3,0.24,+0.04%,180235
"11/25/2024 11:10",597.76,598.2397,597.72,598.06,0.28,+0.05%,188501
"11/25/2024 11:05",598.14,598.25,597.6,597.78,-0.4,-0.07%,207013
"11/25/2024 11:00",597.96,598.2,597.745,598.18,0.2,+0.03%,230549
"11/25/2024 10:55",598.24,598.2999,597.84,597.98,-0.26,-0.04%,225130
"11/25/2024 10:50",598.72,598.88,598.205,598.24,-0.48,-0.08%,225623
"11/25/2024 10:45",598.9,598.9,598.21,598.72,-0.18,-0.03%,167375
"11/25/2024 10:40",598.255,598.94,598.22,598.9,0.6401,+0.11%,222553
"11/25/2024 10:35",598.03,598.56,597.94,598.2599,0.2149,+0.04%,307749
"11/25/2024 10:30",599.09,599.26,597.81,598.045,-1.065,-0.18%,544881
"11/25/2024 10:25",598.53,599.145,598.32,599.11,0.57,+0.10%,334171
"11/25/2024 10:20",598.23,598.57,598.1342,598.54,0.31,+0.05%,271528
"11/25/2024 10:15",598,598.73,597.94,598.23,0.185,+0.03%,377306
"11/25/2024 10:10",598.73,598.76,597.55,598.045,-0.715,-0.12%,929339
"11/25/2024 10:05",598.9099,599.295,598.64,598.76,-0.17,-0.03%,430611
"11/25/2024 10:00",599.25,599.25,598.4501,598.93,-0.33,-0.06%,491385
"11/25/2024 09:55",598.95,599.48,598.8,599.26,0.3,+0.05%,520231
"11/25/2024 09:50",600.02,600.08,598.67,598.96,-1.04,-0.17%,842931
"11/25/2024 09:45",600.49,600.75,599.92,600,-0.48,-0.08%,602980
"11/25/2024 09:40",600.65,600.86,600.2688,600.48,-0.17,-0.03%,696539
"11/25/2024 09:35",600.06,600.72,600.03,600.65,0.58,+0.10%,1066279
"11/25/2024 09:30",599.52,600.15,598.8,600.07,4.56,+0.77%,1908748
"11/22/2024 15:55",595.77,596.1,595.45,595.51,-0.2578,-0.04%,3563214
"11/22/2024 15:50",595.2,595.81,595.02,595.7678,0.5479,+0.09%,619842
"11/22/2024 15:45",594.83,595.22,594.77,595.2199,0.3999,+0.07%,337891
"11/22/2024 15:40",594.96,595.02,594.72,594.82,-0.125,-0.02%,216133
"11/22/2024 15:35",595.0916,595.18,594.827,594.945,-0.135,-0.02%,292523
"11/22/2024 15:30",594.7583,595.24,594.67,595.08,0.31,+0.05%,466634
"11/22/2024 15:25",594.8,594.88,594.17,594.77,-0.0401,-0.01%,527061
"11/22/2024 15:20",594.785,594.9,594.61,594.8101,0.0211,0.00%,186889
"11/22/2024 15:15",594.255,594.7999,594.1801,594.789,0.539,+0.09%,252657
"11/22/2024 15:10",594.62,594.67,594.17,594.25,-0.3647,-0.06%,257970
"11/22/2024 15:05",594.57,595.01,594.52,594.6147,0.0403,+0.01%,174254
"11/22/2024 15:00",595.39,595.39,594.23,594.5744,-0.8255,-0.14%,369153
"11/22/2024 14:55",595.52,595.63,595.38,595.3999,-0.1251,-0.02%,140253
"11/22/2024 14:50",595.331,595.53,595.211,595.525,0.17,+0.03%,160470
"11/22/2024 14:45",595.165,595.41,595.1623,595.355,0.215,+0.04%,114167
"11/22/2024 14:40",595.37,595.37,595.07,595.14,-0.23,-0.04%,178962
"11/22/2024 14:35",595.18,595.42,595.17,595.37,0.12,+0.02%,117651
"11/22/2024 14:30",594.99,595.25,594.89,595.25,0.26,+0.04%,178714
"11/22/2024 14:25",594.92,595.185,594.75,594.99,0.05,+0.01%,215257
"11/22/2024 14:20",594.67,595.01,594.6,594.94,0.2699,+0.05%,164953
"11/22/2024 14:15",594.91,594.91,594.15,594.6701,-0.2399,-0.04%,269930
"11/22/2024 14:10",595.17,595.2,594.8,594.91,-0.255,-0.04%,209113
"11/22/2024 14:05",595.34,595.36,595.06,595.165,-0.175,-0.03%,138383
"11/22/2024 14:00",595.44,595.44,595.25,595.34,-0.09,-0.02%,104886
"11/22/2024 13:55",595.22,595.58,595.1401,595.43,0.2,+0.03%,136606
"11/22/2024 13:50",595.38,595.38,594.9001,595.23,-0.1501,-0.03%,132572
"11/22/2024 13:45",595.285,595.58,595.2301,595.3801,0.0951,+0.02%,117116
"11/22/2024 13:40",595.4025,595.41,595.13,595.285,-0.115,-0.02%,133198
"11/22/2024 13:35",595.71,595.7899,595.35,595.4,-0.35,-0.06%,121868
"11/22/2024 13:30",595.52,595.97,595.44,595.75,0.23,+0.04%,149122
"11/22/2024 13:25",595.94,595.98,595.41,595.52,-0.43,-0.07%,117845
"11/22/2024 13:20",595.85,596.03,595.62,595.95,0.13,+0.02%,157002
"11/22/2024 13:15",595.92,596.06,595.77,595.82,-0.08,-0.01%,87080
"11/22/2024 13:10",595.7601,596.15,595.704,595.9,0.1301,+0.02%,264299
"11/22/2024 13:05",595.84,595.89,595.635,595.7699,-0.0701,-0.01%,169175
"11/22/2024 13:00",595.69,595.84,595.465,595.84,0.1101,+0.02%,130296
"11/22/2024 12:55",595.72,595.79,595.5877,595.7299,0.0199,0.00%,112822
"11/22/2024 12:50",595.4,595.85,595.4,595.71,0.31,+0.05%,133390
"11/22/2024 12:45",595.25,595.51,595.14,595.4,0.16,+0.03%,84636
"11/22/2024 12:40",594.6911,595.3,594.6911,595.24,0.5201,+0.09%,106609
"11/22/2024 12:35",595.21,595.25,594.66,594.7199,-0.4401,-0.07%,159502
"11/22/2024 12:30",595.61,595.65,595,595.16,-0.45,-0.08%,149864
"11/22/2024 12:25",595.52,595.8,595.52,595.61,0.08,+0.01%,177404
"11/22/2024 12:20",595.46,595.88,595.39,595.53,0.08,+0.01%,171978
"11/22/2024 12:15",595.59,595.61,595.33,595.45,-0.11,-0.02%,189049
"11/22/2024 12:10",595.14,595.72,595.1235,595.56,0.385,+0.06%,215444
"11/22/2024 12:05",595.25,595.44,595.11,595.175,-0.085,-0.01%,141535
"11/22/2024 12:00",595.05,595.28,594.71,595.26,0.22,+0.04%,144564
"11/22/2024 11:55",595.1,595.1699,594.925,595.04,-0.09,-0.02%,90382
"11/22/2024 11:50",594.7,595.13,594.4,595.13,0.4799,+0.08%,171975
"11/22/2024 11:45",594.115,594.735,593.92,594.6501,0.6152,+0.10%,183004
